,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_category
1,2023,MI,CT,ML Engineer,30000,USD,30000,US,100,US,S,Data Engineer
2,2023,MI,CT,ML Engineer,25500,USD,25500,US,100,US,S,Data Engineer
5,2023,SE,FT,Applied Scientist,222200,USD,222200,US,0,US,L,Data Scientist
6,2023,SE,FT,Applied Scientist,136000,USD,136000,US,0,US,L,Data Scientist
9,2023,SE,FT,Data Scientist,147100,USD,147100,US,0,US,M,Data Scientist
10,2023,SE,FT,Data Scientist,90700,USD,90700,US,0,US,M,Data Scientist
11,2023,SE,FT,Data Analyst,130000,USD,130000,US,100,US,M,Data Analyst
12,2023,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M,Data Analyst
13,2023,EN,FT,Applied Scientist,213660,USD,213660,US,0,US,L,Data Scientist
14,2023,EN,FT,Applied Scientist,130760,USD,130760,US,0,US,L,Data Scientist
15,2023,SE,FT,Data Modeler,147100,USD,147100,US,0,US,M,Other
16,2023,SE,FT,Data Modeler,90700,USD,90700,US,0,US,M,Other
17,2023,SE,FT,Data Scientist,170000,USD,170000,US,0,US,M,Data Scientist
18,2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M,Data Scientist
19,2023,MI,FT,Data Analyst,150000,USD,150000,US,100,US,M,Data Analyst
20,2023,MI,FT,Data Analyst,110000,USD,110000,US,100,US,M,Data Analyst
25,2023,SE,FT,Business Intelligence Engineer,225000,USD,225000,US,0,US,M,Data Engineer
26,2023,SE,FT,Business Intelligence Engineer,156400,USD,156400,US,0,US,M,Data Engineer
27,2023,SE,FT,Machine Learning Engineer,200000,USD,200000,US,0,US,M,Data Engineer
28,2023,SE,FT,Machine Learning Engineer,130000,USD,130000,US,0,US,M,Data Engineer
31,2023,SE,FT,Data Engineer,253200,USD,253200,US,0,US,M,Data Engineer
32,2023,SE,FT,Data Engineer,90700,USD,90700,US,0,US,M,Data Engineer
33,2023,SE,FT,Computer Vision Engineer,342810,USD,342810,US,0,US,M,Data Engineer
34,2023,SE,FT,Computer Vision Engineer,184590,USD,184590,US,0,US,M,Data Engineer
35,2023,MI,FT,Data Engineer,162500,USD,162500,US,0,US,M,Data Engineer
36,2023,MI,FT,Data Engineer,130000,USD,130000,US,0,US,M,Data Engineer
37,2023,MI,FT,Data Analyst,105380,USD,105380,US,0,US,M,Data Analyst
38,2023,MI,FT,Data Analyst,64500,USD,64500,US,0,US,M,Data Analyst
42,2023,EN,FT,Applied Scientist,204620,USD,204620,US,0,US,L,Data Scientist
43,2023,EN,FT,Applied Scientist,110680,USD,110680,US,0,US,L,Data Scientist
44,2023,SE,FT,Data Engineer,270703,USD,270703,US,0,US,M,Data Engineer
45,2023,SE,FT,Data Engineer,221484,USD,221484,US,0,US,M,Data Engineer
46,2023,SE,FT,Data Scientist,212750,USD,212750,US,100,US,M,Data Scientist
47,2023,SE,FT,Data Scientist,185000,USD,185000,US,100,US,M,Data Scientist
48,2023,SE,FT,Data Scientist,262000,USD,262000,US,100,US,M,Data Scientist
49,2023,SE,FT,Data Scientist,245000,USD,245000,US,100,US,M,Data Scientist
50,2023,SE,FT,Data Scientist,275300,USD,275300,US,100,US,M,Data Scientist
51,2023,SE,FT,Data Scientist,183500,USD,183500,US,100,US,M,Data Scientist
52,2023,SE,FT,Data Scientist,218500,USD,218500,US,100,US,M,Data Scientist
53,2023,SE,FT,Data Scientist,199098,USD,199098,US,100,US,M,Data Scientist
54,2023,SE,FT,Data Engineer,203300,USD,203300,US,100,US,M,Data Engineer
55,2023,SE,FT,Data Engineer,123600,USD,123600,US,100,US,M,Data Engineer
56,2023,SE,FT,Research Engineer,189110,USD,189110,US,0,US,M,Data Engineer
57,2023,SE,FT,Research Engineer,139000,USD,139000,US,0,US,M,Data Engineer
58,2023,EX,FT,Data Scientist,258750,USD,258750,US,0,US,M,Data Scientist
59,2023,EX,FT,Data Scientist,185000,USD,185000,US,0,US,M,Data Scientist
60,2023,SE,FT,Data Engineer,231500,USD,231500,US,100,US,M,Data Engineer
61,2023,SE,FT,Data Engineer,166000,USD,166000,US,100,US,M,Data Engineer
62,2023,SE,FT,Data Scientist,172500,USD,172500,US,100,US,M,Data Scientist
63,2023,SE,FT,Data Scientist,110500,USD,110500,US,100,US,M,Data Scientist
64,2023,SE,FT,Data Engineer,238000,USD,238000,US,0,US,M,Data Engineer
65,2023,SE,FT,Data Engineer,176000,USD,176000,US,0,US,M,Data Engineer
66,2023,SE,FT,Data Engineer,237000,USD,237000,US,100,US,M,Data Engineer
67,2023,SE,FT,Data Engineer,201450,USD,201450,US,100,US,M,Data Engineer
68,2023,SE,FT,Applied Scientist,309400,USD,309400,US,0,US,L,Data Scientist
69,2023,SE,FT,Applied Scientist,159100,USD,159100,US,0,US,L,Data Scientist
70,2023,SE,FT,Data Engineer,115000,USD,115000,US,0,US,M,Data Engineer
71,2023,SE,FT,Data Engineer,81500,USD,81500,US,0,US,M,Data Engineer
72,2023,SE,FT,Data Scientist,237000,USD,237000,US,100,US,M,Data Scientist
73,2023,SE,FT,Data Scientist,201450,USD,201450,US,100,US,M,Data Scientist
74,2023,SE,FT,Computer Vision Engineer,280000,USD,280000,US,0,US,M,Data Engineer
75,2023,SE,FT,Computer Vision Engineer,210000,USD,210000,US,0,US,M,Data Engineer
76,2023,SE,FT,Data Architect,280100,USD,280100,US,100,US,M,Data Engineer
77,2023,SE,FT,Data Architect,168100,USD,168100,US,100,US,M,Data Engineer
78,2023,SE,FT,Data Engineer,193500,USD,193500,US,100,US,M,Data Engineer
79,2023,SE,FT,Data Engineer,139000,USD,139000,US,100,US,M,Data Engineer
81,2023,SE,FT,Machine Learning Engineer,150000,USD,150000,PT,100,US,M,Data Engineer
85,2023,SE,FT,Business Intelligence Engineer,185900,USD,185900,US,0,US,M,Data Engineer
86,2023,SE,FT,Business Intelligence Engineer,129300,USD,129300,US,0,US,M,Data Engineer
87,2023,SE,FT,Data Engineer,225000,USD,225000,US,100,US,M,Data Engineer
88,2023,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M,Data Engineer
89,2023,SE,FT,Data Engineer,185000,USD,185000,US,0,US,M,Data Engineer
90,2023,SE,FT,Data Engineer,140000,USD,140000,US,0,US,M,Data Engineer
93,2023,SE,FT,Data Scientist,105000,USD,105000,US,0,US,M,Data Scientist
94,2023,SE,FT,Data Scientist,70000,USD,70000,US,0,US,M,Data Scientist
95,2023,EN,FT,Machine Learning Engineer,163196,USD,163196,US,0,US,M,Data Engineer
96,2023,EN,FT,Machine Learning Engineer,145885,USD,145885,US,0,US,M,Data Engineer
97,2023,SE,FT,Data Engineer,217000,USD,217000,US,100,US,M,Data Engineer
98,2023,SE,FT,Data Engineer,185000,USD,185000,US,100,US,M,Data Engineer
99,2023,SE,FT,Data Analyst,202800,USD,202800,US,0,US,L,Data Analyst
100,2023,SE,FT,Data Analyst,104300,USD,104300,US,0,US,L,Data Analyst
101,2023,SE,FT,Data Analyst,145000,USD,145000,US,0,US,M,Data Analyst
102,2023,SE,FT,Data Analyst,65000,USD,65000,US,0,US,M,Data Analyst
103,2023,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M,Data Engineer
104,2023,SE,FT,Data Engineer,132300,USD,132300,US,0,US,M,Data Engineer
105,2023,SE,FT,Data Engineer,179170,USD,179170,US,0,US,M,Data Engineer
106,2023,SE,FT,Data Engineer,94300,USD,94300,US,0,US,M,Data Engineer
107,2023,SE,FT,Analytics Engineer,152500,USD,152500,US,0,US,M,Data Engineer
108,2023,SE,FT,Analytics Engineer,116450,USD,116450,US,0,US,M,Data Engineer
109,2023,SE,FT,Data Engineer,247300,USD,247300,US,0,US,M,Data Engineer
110,2023,SE,FT,Data Engineer,133800,USD,133800,US,0,US,M,Data Engineer
111,2023,SE,FT,Research Engineer,203000,USD,203000,US,0,US,M,Data Engineer
112,2023,SE,FT,Research Engineer,133000,USD,133000,US,0,US,M,Data Engineer
113,2023,EN,FT,Research Scientist,220000,USD,220000,US,50,US,L,Data Scientist
115,2023,SE,FT,Data Scientist,150000,USD,150000,US,0,US,M,Data Scientist
116,2023,SE,FT,Data Scientist,120000,USD,120000,US,0,US,M,Data Scientist
117,2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M,Data Engineer
118,2023,SE,FT,Analytics Engineer,214000,USD,214000,US,0,US,M,Data Engineer
119,2023,SE,FT,Analytics Engineer,179820,USD,179820,US,0,US,M,Data Engineer
120,2023,SE,FT,Analytics Engineer,143860,USD,143860,US,0,US,M,Data Engineer
121,2023,SE,FT,Machine Learning Engineer,283200,USD,283200,US,100,US,M,Data Engineer
122,2023,SE,FT,Machine Learning Engineer,188800,USD,188800,US,100,US,M,Data Engineer
123,2023,SE,FT,Analytics Engineer,289800,USD,289800,US,0,US,M,Data Engineer
124,2023,SE,FT,Analytics Engineer,214200,USD,214200,US,0,US,M,Data Engineer
125,2023,SE,FT,Data Engineer,185900,USD,185900,US,0,US,M,Data Engineer
126,2023,SE,FT,Data Engineer,129300,USD,129300,US,0,US,M,Data Engineer
127,2023,SE,FT,Data Engineer,252000,USD,252000,US,0,US,M,Data Engineer
128,2023,SE,FT,Data Engineer,129000,USD,129000,US,0,US,M,Data Engineer
129,2023,MI,FT,Data Analytics Manager,155000,USD,155000,US,0,US,M,Data Scientist
130,2023,MI,FT,Data Analytics Manager,140000,USD,140000,US,0,US,M,Data Scientist
131,2023,SE,FT,Data Engineer,161800,USD,161800,US,100,US,M,Data Engineer
132,2023,SE,FT,Data Engineer,141600,USD,141600,US,100,US,M,Data Engineer
133,2023,SE,FT,Machine Learning Engineer,342300,USD,342300,US,0,US,L,Data Engineer
134,2023,SE,FT,Machine Learning Engineer,176100,USD,176100,US,0,US,L,Data Engineer
135,2023,MI,FT,Data Engineer,100000,USD,100000,US,100,US,M,Data Engineer
136,2023,MI,FT,Data Engineer,70000,USD,70000,US,100,US,M,Data Engineer
137,2023,EN,FT,Data Engineer,85000,USD,85000,US,0,US,M,Data Engineer
138,2023,EN,FT,Data Engineer,65000,USD,65000,US,0,US,M,Data Engineer
139,2023,SE,FT,Data Scientist,138784,USD,138784,US,100,US,M,Data Scientist
140,2023,SE,FT,Data Scientist,83270,USD,83270,US,100,US,M,Data Scientist
141,2023,EN,FT,Data Analyst,75000,USD,75000,US,0,US,M,Data Analyst
142,2023,EN,FT,Data Analyst,70000,USD,70000,US,0,US,M,Data Analyst
143,2023,SE,FT,Data Analyst,204500,USD,204500,US,0,US,M,Data Analyst
